Star Number,Star Name,Durchmusterung Identification,RA (degrees),Dec (degrees),Parallax (arsec),Distance (parsecs),X (parsecs),Y (parsecs),Z (parsecs)
370,Nu  Phe,CD-46  346,1.2530833333333333,-45.53138888888889,0.069,14.492753623188404,10.15001282022278,0.22202054433109758,-10.342526490642832
373,39    Cet,BD-03  172,1.2767499999999998,-2.500277777777778,0.015,66.66666666666667,66.58666531517271,1.4840290138785899,-2.9082820591521648
377,Kap Tuc,CP-69   45,1.2628055555555555,-68.8761111111111,0.061,16.39344262295082,5.906528427801249,0.13020164758629102,-15.291858307430203
378,89    Psc,BD+02  185,1.2966666666666666,3.6144444444444446,0.013,76.92307692307692,76.75040799355546,1.7372429567046623,4.849394090581563
383,90Ups Psc,BD+26  220,1.3244444444444445,27.264166666666668,0.019,52.631578947368425,46.77191696544449,1.0813683334734754,24.110195527991934
390,46Xi  And,BD+44  287,1.3723333333333334,45.528888888888886,0.026,38.46153846153846,26.9364850734376,0.6452989593418532,27.446298511273753
399,36Psi Cas,BD+67  123,1.4322222222222223,68.13,0.013,76.92307692307692,28.645041903936587,0.7161890997490012,71.38703251157543
402,45The Cet,BD-08  244,1.400388888888889,-8.183333333333334,0.041,24.390243902439025,24.134683981710126,0.5900028810792365,-3.4717320351327325
403,37Del Cas,BD+59  248,1.4302777777777778,60.23527777777778,0.037,27.027027027027028,13.413105429634681,0.3349016758973977,23.461386010221887
412,46    Cet,BD-15  266,1.427,-14.59888888888889,0.007,142.85714285714286,138.20199099197575,3.442749716609624,-36.007227407129925
413,93Rho Psc,BD+18  187,1.4375833333333334,19.172222222222224,0.038,26.315789473684212,24.848379055978707,0.6235906693500192,8.64233582955252
414,94    Psc,BD+18  189,1.4449166666666666,19.240277777777777,0.013,76.92307692307692,72.6034415157658,1.8313420019843705,25.348495613194736
416,,BD-01  189,1.4409166666666666,-0.39861111111111114,0.023,43.47826086956522,43.46346062596875,1.093281769331724,-0.3024791392428561
417,48Ome And,BD+44  307,1.4609444444444444,45.406666666666666,0.03,33.333333333333336,23.39473275469052,0.5966550109057754,23.73692467961431
424,1Alp UMi,BD+88    8,2.530194444444444,89.26416666666667,0.007,142.85714285714286,1.8328344724041963,0.08099103483996355,142.84536192524826
427,38    Cas,BD+69  102,1.5205,70.26472222222222,0.039,25.641025641025642,8.655281372076223,0.22974546654635292,24.1349439053528
430,49    And,BD+46  370,1.5017222222222222,47.007222222222225,0.015,66.66666666666667,45.44479715343806,1.1913808318160384,48.762644184261525
433,48    Cet,BD-22  254,1.4933611111111111,-21.629444444444445,0.028,35.714285714285715,33.18826607170595,0.8652171671523661,-13.164368518426906
434,98Mu  Psc,BD+05  194,1.5030833333333333,6.143888888888889,0.018,55.55555555555556,55.21745248422048,1.4488934113334477,5.945872696406129
437,99Eta Psc,BD+14  231,1.524722222222222,15.345833333333333,0.015,66.66666666666667,64.26697248750446,1.7106394126399056,17.642970399984073
440,Del Phe,CD-49  425,1.520861111111111,-49.07277777777778,0.031,32.25806451612903,21.124809209299602,0.5608693838632898,-24.372332422886377
442,39Chi Cas,BD+58  260,1.5655277777777779,59.231944444444444,0.021,47.61904761904761,24.351092128605217,0.6655254788686878,40.91644026704036
445,,CD-37  589,1.5488888888888888,-36.86527777777778,0.007,142.85714285714286,114.25086555355406,3.089320328718504,-85.7050703603725
446,,BD+36  277,1.5712777777777778,37.23722222222222,0.018,55.55555555555556,44.21320076036887,1.2128055767309802,33.61758073155751
456,40    Cas,BD+72   86,1.6419166666666667,73.03999999999999,0.017,58.8235294117647,17.152014069548816,0.4916573194283432,56.265213932722226
458,50Ups And,BD+40  332,1.6132777777777778,41.40555555555555,0.062,16.129032258064516,12.092736098354173,0.34058529085576317,10.667493468331738
460,,CP-58  123,1.5875555555555556,-58.13944444444444,0.011,90.90909090909092,47.96828489404795,1.329448907596653,-77.212298371716
464,51    And,BD+47  467,1.6332222222222224,48.62833333333333,0.021,47.61904761904761,31.46058783308733,0.8970303368076369,35.735143009600066
466,,BD-10  343,1.627138888888889,-9.40388888888889,0.024,41.666666666666664,41.09013625416533,1.1672297510530245,-6.808038515864546
469,52Chi And,BD+43  343,1.6558333333333333,44.38611111111111,0.009,111.11111111111111,79.37153885608147,2.294455925006399,77.72112521040486
472,Alp Eri,CP-57  334,1.6285833333333333,-57.236666666666665,0.026,38.46153846153846,20.805829838564417,0.5915471659038268,-32.34281152756538
480,42    Cas,BD+69  114,1.7155277777777778,70.62249999999999,0.004,250.0,82.91049738867139,2.483215734716519,235.8382561468304
483,,BD+41  328,1.6964444444444444,42.61361111111111,0.081,12.345679012345679,9.081650704860966,0.2689730328534139,8.358652059893899
484,,BD+25  276,1.6884444444444444,25.745833333333334,0.023,43.47826086956522,39.14516323795588,1.153899521303296,18.886076331797714
486,,CP-56  329,1.6631666666666667,-56.198055555555555,0.152,6.578947368421053,3.6584832295675085,0.10622731700534696,-5.466878880362125
487,,CP-56  329,1.6632777777777776,-56.19472222222222,0.152,6.578947368421053,3.658800933483706,0.10624364315070539,-5.466665939481132
489,106Nu  Psc,BD+04  293,1.6905277777777779,5.4875,0.041,24.390243902439025,24.26789830765912,0.7162388884562242,2.3324045970291483
492,,BD-12  315,1.69575,-11.324722222222222,0.035,28.57142857142857,28.002874406723112,0.8290269299549721,-5.610549877057148
493,107    Psc,BD+19  279,1.7082777777777778,20.26861111111111,0.119,8.403361344537815,7.879512122486491,0.23499785638055895,2.9111074535230363
496,Phi Per,BD+49  444,1.7276666666666667,50.68861111111111,0.025,40.0,25.329867439647188,0.7640150108993321,30.948571801506798
500,,BD-04  260,1.7120833333333332,-3.690277777777778,0.009,111.11111111111111,110.83122901567847,3.3127884572718886,-7.151441802690846
508,109    Psc,BD+19  282,1.7488333333333335,20.083055555555557,0.027,37.03703703703704,34.768828813601246,1.0615751675199603,12.717850194787246
509,52Tau Cet,BD-16  295,1.7344722222222222,-15.9375,0.275,3.6363636363636362,3.4949863247179924,0.10583343436637617,-0.9985040661270267
510,110Omi Psc,BD+08  273,1.7565555555555556,9.157777777777778,0.023,43.47826086956522,42.90390851826016,1.3157464558832066,6.919726393619916
511,,BD+63  238,1.7957777777777777,63.852222222222224,0.107,9.345794392523365,4.116555417171963,0.12906431094498777,8.38934960103068
514,Eps Scl,CD-25  704,1.7607777777777778,-25.052500000000002,0.037,27.027027027027028,24.472767914698355,0.7523185254336647,-11.444554921413479
520,,CP-54  377,1.7684166666666665,-53.52194444444444,0.023,43.47826086956522,25.83616130597023,0.7976785102315913,-34.960200889127734
523,,BD+31  316,1.8115555555555556,32.69027777777777,0.038,26.315789473684212,22.13636346670053,0.7001322020579032,14.213092661100768
530,1    Ari,BD+21  243,1.8356944444444445,22.275277777777777,0.017,58.8235294117647,54.4057916519132,1.7436990491541766,22.297465344996915
531,53Chi Cet,BD-11  352,1.8264166666666666,-10.686388888888889,0.046,21.73913043478261,21.351253441012084,0.6808441988356231,-4.031156128838615
535,,CD-39  553,1.8302222222222222,-38.403888888888886,0.022,45.45454545454546,35.60234174178347,1.1376469500159352,-28.2364077814038
539,55Zet Cet,BD-11  359,1.8576666666666668,-10.335,0.031,32.25806451612903,31.718019265479068,1.0287347975735766,-5.787200093110911
542,45Eps Cas,BD+62  320,1.9065833333333333,63.669999999999995,0.01,100.0,44.32949851330245,1.4756600434846578,89.62543159726026
543,55    And,BD+40  394,1.8881388888888888,40.72972222222222,0.006,166.66666666666666,126.2307531015995,4.1613450677321016,108.74859979056309
544,2Alp Tri,BD+28  312,1.8846944444444444,29.578888888888887,0.057,17.543859649122805,15.249235168228083,0.5017912204659581,8.660025620242616
545,5Gam1Ari,BD+18  243,1.8921666666666666,19.295833333333334,0.026,38.46153846153846,36.28116747240502,1.198604578289259,12.70945218066483
546,5Gam2Ari,BD+18  243,1.8921666666666666,19.29361111111111,0.026,38.46153846153846,36.281660113640804,1.1986208534557377,12.708044234905287
549,111Xi  Psc,BD+02  290,1.8925833333333333,3.1875,0.005,200.0,199.58165241330508,6.59494208482803,11.120735536484924
553,6Bet Ari,BD+20  306,1.9106666666666665,20.808055555555555,0.074,13.513513513513514,12.625081482493938,0.4211700806831411,4.800518805654072
555,Psi Phe,CD-46  552,1.894111111111111,-46.302499999999995,0.011,90.90909090909092,62.77030880034419,2.0758469626656377,-65.72702642303531
560,,BD+01  347,1.931611111111111,1.8497222222222223,0.025,40.0,39.95643971357727,1.347560972206569,1.2911254166233812
566,Chi Eri,CP-52  241,1.9326388888888888,-51.60888888888889,0.058,17.241379310344826,10.701257412852858,0.3611001311708453,-13.513617465442657
569,9Lam Ari,BD+22  288,1.9654722222222223,23.59611111111111,0.028,35.714285714285715,32.708955974038915,1.1224871053522552,14.295958375300856
573,,CP-52  242,1.9500277777777777,-51.76611111111111,0.056,17.857142857142858,11.044905387237865,0.37605199564551567,-14.026624715302795
574,,CD-47  597,1.9527777777777777,-47.385,0.021,47.61904761904761,32.2226404484509,1.0986504123305936,-35.043802675315725
575,48    Cas,BD+70  153,2.032611111111111,70.90694444444445,0.035,28.57142857142857,9.339930072568036,0.33148015395669606,26.999673289862546
581,47    Cas,BD+76   63,2.085388888888889,77.28138888888888,0.028,35.714285714285715,7.857759221791266,0.28612445212848125,34.83796717507899
582,112    Psc,BD+02  311,2.0025555555555554,3.0972222222222223,0.034,29.41176470588235,29.350866249262257,1.026265565689902,1.5891294852162736
585,59Ups Cet,BD-21  358,2.0000833333333334,-21.07777777777778,0.007,142.85714285714286,133.21780389854212,4.652262215868864,-51.37641916317734
588,,CD-42  684,1.9941111111111112,-42.03055555555555,0.018,55.55555555555556,41.241002773538774,1.4359236267664868,-37.19593481359866
591,Alp Hyi,CP-62  162,1.9795,-61.569722222222225,0.048,20.833333333333332,9.912601750495023,0.3426047454752459,-18.320773081456977
592,49    Cas,BD+75   86,2.092,76.115,0.022,45.45454545454546,10.90063448969632,0.3981840670601657,44.12633363027255
594,Pi  For,CD-30  703,2.02075,-30.001666666666665,0.017,58.8235294117647,50.9101356632201,1.796281232150106,-29.413246555664298
595,113Alp Psc,BD+02  317,2.034111111111111,2.763611111111111,0.005,200.0,199.64151319821784,7.090639507232155,9.643082458647957
596,113Alp Psc,BD+02  317,2.034111111111111,2.763611111111111,0.005,200.0,199.64151319821784,7.090639507232155,9.643082458647957
599,3Eps Tri,BD+32  369,2.049444444444444,33.28388888888889,0.01,100.0,83.54269759482544,2.9895600993879907,54.87877740066459
603,57Gam1And,BD+41  395,2.065,42.32972222222222,0.013,76.92307692307692,56.830905693597835,2.0491327819824434,51.79970054161319
604,57Gam2And,BD+41  395,2.0651944444444443,42.33083333333334,0.013,76.92307692307692,56.82989485278293,2.0492894485720647,51.80080334407195
605,10    Ari,BD+25  341,2.0609166666666665,25.935555555555556,0.025,40.0,35.948193852897255,1.2936066245444453,17.494397406468586
617,13Alp Ari,BD+22  306,2.1195555555555554,23.4625,0.049,20.408163265306122,18.708025592741432,0.692386036866829,8.125485084637939
620,58    And,BD+37  486,2.141472222222222,37.85916666666667,0.006,166.66666666666666,131.49504590143505,4.91701460847656,102.28711379493166
622,4Bet Tri,BD+34  381,2.1590555555555553,34.98722222222222,0.022,45.45454545454546,37.21356035153322,1.402968883578868,26.063351794307728
635,64    Cet,BD+07  347,2.1891944444444444,8.569722222222222,0.034,29.41176470588235,29.062163278896723,1.1109667411145263,4.382729921529649
637,,CD-51  532,2.1737777777777776,-50.824444444444445,0.09,11.11111111111111,7.013822702734624,0.2662292336136287,-8.613489607193515
